Optimum Shift,Centroid Type,Dimension_1,Dimension_2,Dimension_3,Dimension_4,Dimension_5,Dimension_6
0,Alpha,-0.0969068,0.02681118,0.16193204,-0.07064419,0.09780204,-0.035941
0,Beta,-0.09698082,0.02681294,0.1617686,-0.07065513,0.09793173,-0.03593695
0,Delta,-0.09715319,0.02672907,0.16213041,-0.07068295,0.09775366,-0.03589489
0,Swarm,-0.09701793,0.02678141,0.16193621,-0.07066551,0.09782409,-0.03593216
0,Omega-only,-0.09702318,0.02677957,0.1619332,-0.07066747,0.0978238,-0.03593101
1,Alpha,0.20619187,0.36340031,0.46906143,0.14210013,0.14062265,0.11291108
1,Beta,0.19949024,0.36075651,0.46914159,0.16504187,0.13908676,0.11176521
1,Delta,0.20905967,0.36665396,0.46924379,0.16326686,0.13809784,0.11122356
1,Swarm,0.20489945,0.3636041,0.46913968,0.15681241,0.13926971,0.1119495
1,Omega-only,0.204898,0.36360536,0.46913864,0.15681056,0.13926864,0.11195154
2,Alpha,0.90087768,1.39314131,1.04413581,1.15480803,1.00418398,0.87636758
2,Beta,0.92547597,1.36887282,1.05028882,1.18092544,0.98460435,0.88243957
2,Delta,0.93554573,1.34906977,1.03438419,1.14960268,1.01365215,0.9096825
2,Swarm,0.92063384,1.37036522,1.0429254,1.16177864,1.00081966,0.88950563
2,Omega-only,0.9206251,1.37037858,1.0429369,1.16178568,1.00080665,0.88951255
3,Alpha,2.12074131,2.01944377,2.33025064,2.17111174,2.40269302,2.3266889
3,Beta,2.16409187,1.88506347,2.27035399,2.10350625,2.17415659,2.34806106
3,Delta,2.20176318,2.00468101,2.22169527,2.03507307,2.51831613,2.26973226
3,Swarm,2.16219897,1.96964425,2.27414473,2.10319917,2.3650444,2.31487574
3,Omega-only,2.16220006,1.96963429,2.27413852,2.10321072,2.36504851,2.31488382
4,Alpha,3.63279976,3.21798254,3.62444267,3.04913913,3.0978363,3.01047648
4,Beta,3.73068384,3.05674239,3.77169918,3.00973394,2.94702965,3.2540231
4,Delta,3.65341314,3.19891688,3.6292231,2.94354594,3.02882612,3.22298864
4,Swarm,3.67238585,3.15787171,3.67511669,3.00079779,3.02453238,3.16249709
4,Omega-only,3.6723515,3.15787819,3.67513521,3.00082355,3.02456963,3.16248149
5,Alpha,4.03104858,4.0023769,4.13746471,4.07910505,4.28538273,3.96615733
5,Beta,4.14008551,3.96220404,4.00611411,4.3067743,4.33833235,3.86733497
5,Delta,4.0552932,3.96731456,4.12068927,4.08735201,4.28442086,3.77774945
5,Swarm,4.07538528,3.97736468,4.08800808,4.15774458,4.30266329,3.87031709
5,Omega-only,4.07537257,3.9773424,4.0880033,4.15774616,4.30267049,3.87026539
