Optimum Shift,Search Space,Centroid Type,Dimension_1,Dimension_2,Dimension_3,Dimension_4,Dimension_5,Dimension_6
0,"[-5.12, 5.12]",Alpha,0.0331691921,0.0037985374,-0.0307446761,-0.062434721,,
0,"[-5.12, 5.12]",Beta,0.0330571579,0.00374268477,-0.0308346849,-0.0622492158,,
0,"[-5.12, 5.12]",Delta,0.033290443,0.00377809127,-0.0307830141,-0.0622932275,,
0,"[-5.12, 5.12]",Swarm,0.0331710856,0.0037787502,-0.0307792653,-0.0623252464,,
0,"[-5.12, 5.12]",Omega-only,0.0331752655,0.00378067107,-0.0307801546,-0.0623287926,,
1,"[-4.12, 6.12]",Alpha,0.1307038,0.33431339,0.27177826,0.41104972,0.60049042,0.33369675
1,"[-4.12, 6.12]",Beta,0.13018994,0.30621483,0.271039,0.40798236,0.60082406,0.33184302
1,"[-4.12, 6.12]",Delta,0.13017399,0.33283,0.27152184,0.41154478,0.60057058,0.33386112
1,"[-4.12, 6.12]",Swarm,0.13034869,0.32444962,0.27146039,0.4101756,0.60060526,0.33314106
1,"[-4.12, 6.12]",Omega-only,0.1303516,0.3244408,0.27146334,0.41017506,0.60060806,0.33314018
2,"[-3.12, 7.12]",Alpha,1.16310179,1.04295926,0.91626998,1.38700549,0.61531984,1.02484056
2,"[-3.12, 7.12]",Beta,1.17921238,1.00485137,0.94448079,1.39550413,0.59511537,1.01876318
2,"[-3.12, 7.12]",Delta,1.13619126,1.00785757,0.93796288,1.43034778,0.5797865,1.05017432
2,"[-3.12, 7.12]",Swarm,1.15951511,1.01852971,0.93290983,1.40426985,0.5967582,1.0312614
2,"[-3.12, 7.12]",Omega-only,1.15950984,1.01852342,0.93290958,1.40427892,0.59675546,1.03126187
3,"[-2.12, 8.12]",Alpha,2.26031985,1.95781026,2.24874261,1.83864461,1.4440759,2.21151713
3,"[-2.12, 8.12]",Beta,2.23555554,1.97259994,2.24822131,1.86803389,1.43746176,2.22077144
3,"[-2.12, 8.12]",Delta,2.24245416,1.96437806,2.25224365,1.86001685,1.41747042,2.21371696
3,"[-2.12, 8.12]",Swarm,2.24609436,1.96495773,2.24979062,1.85559606,1.43300544,2.21534
3,"[-2.12, 8.12]",Omega-only,2.24609322,1.9649589,2.24982007,1.85558817,1.43299223,2.21534423
4,"[-1.12, 9.12]",Alpha,3.22482739,3.63188996,3.17903745,3.02462162,3.30671362,3.31548689
4,"[-1.12, 9.12]",Beta,3.25975032,3.56494291,3.2497443,2.87702378,3.29910543,3.34196933
4,"[-1.12, 9.12]",Delta,3.28264713,3.54745218,3.29524747,2.9941098,3.40268534,3.29762468
4,"[-1.12, 9.12]",Swarm,3.25571109,3.58137123,3.24133793,2.96530462,3.33619211,3.31832498
4,"[-1.12, 9.12]",Omega-only,3.25569483,3.58137606,3.24133214,2.96529743,3.3361997,3.31833886
5,"[-0.12, 10.12]",Alpha,5.06346431,4.3565582,4.17691227,4.1873377,4.80946166,4.12596058
5,"[-0.12, 10.12]",Beta,4.89360661,4.27278744,4.18367548,4.16133868,4.80260035,4.13158474
5,"[-0.12, 10.12]",Delta,4.95501167,4.32890407,4.07378195,4.17579512,5.00517167,4.03877642
5,"[-0.12, 10.12]",Swarm,4.9708315,4.31936285,4.14479843,4.17490302,4.87232662,4.09888646
5,"[-0.12, 10.12]",Omega-only,4.97083315,4.31938726,4.14479657,4.17490984,4.87234692,4.09888747
